Is Senior Citizen,Has Partner,Has Dependents,Tenure (Months),Has Phone Service,Has Online Security,Has Online Backup,Has Device Protection,Has Tech Support,Has Streaming TV,Has Streaming Movies,Uses Paperless Billing,Monthly Charges,Total Charges,No Phone Service,Has Multiple Lines,Fiber Internet,No Internet Service,One-Year Contract,Two-Year Contract,Pays by Credit Card (Auto),Pays by Electronic Check,Pays by Mailed Check,Predicted Churn Probability,Risk Segment
0,0,0,52,0,0,0,0,0,0,0,0,20.65,1022.95,0,0,0,1,1,0,0,0,1,0.0042272654587700445,Low Risk
0,0,0,71,0,0,0,0,0,0,0,0,106.7,7382.25,0,1,1,0,0,1,0,0,0,0.20047172155538825,Low Risk
0,0,0,10,0,0,0,0,0,0,0,0,55.2,528.35,0,0,0,0,0,0,1,0,0,0.1532937683001687,Low Risk
0,0,0,21,0,0,0,0,0,0,0,0,90.05,1862.9,0,0,1,0,0,0,0,1,0,0.35140963367209604,Medium Risk
1,0,0,1,0,0,0,0,0,0,0,0,39.65,39.65,1,0,0,0,0,0,0,1,0,0.8844960828841484,High Risk
0,0,0,12,0,0,0,0,0,0,0,0,19.8,202.25,0,0,0,1,1,0,0,0,0,0.10815580379341255,Low Risk
0,0,0,1,0,0,0,0,0,0,0,0,20.15,20.15,0,0,0,1,0,0,0,0,1,0.4556009775259065,Medium Risk
0,0,0,58,0,0,0,0,0,0,0,0,59.9,3505.1,0,1,0,0,0,1,1,0,0,0.01722553619480183,Low Risk
0,0,0,49,0,0,0,0,0,0,0,0,59.6,2970.3,0,0,0,0,0,0,1,0,0,0.08425339818364459,Low Risk
0,0,0,30,0,0,0,0,0,0,0,0,55.3,1530.6,0,0,0,0,0,0,0,0,0,0.12020345614911612,Low Risk
0,0,0,47,0,0,0,0,0,0,0,0,99.35,4749.15,0,1,1,0,0,0,0,1,0,0.5825938057550653,Medium Risk
0,0,0,1,0,0,0,0,0,0,0,0,30.2,30.2,1,0,0,0,0,0,0,1,0,0.6567528653989333,High Risk
0,0,0,72,0,0,0,0,0,0,0,0,90.25,6369.45,0,1,0,0,0,1,1,0,0,0.0009955145938356866,Low Risk
0,0,0,17,0,0,0,0,0,0,0,0,64.7,1093.1,0,0,0,0,0,0,0,0,1,0.1923028075516327,Low Risk
1,0,0,71,0,0,0,0,0,0,0,0,96.35,6766.95,0,1,1,0,0,1,1,0,0,0.01757083893818183,Low Risk
1,0,0,2,0,0,0,0,0,0,0,0,95.5,181.65,0,0,1,0,0,0,1,0,0,0.6021081549705344,High Risk
0,0,0,27,0,0,0,0,0,0,0,0,66.15,1874.45,0,0,0,0,1,0,0,0,1,0.08121195709265044,Low Risk
0,0,0,1,0,0,0,0,0,0,0,0,20.2,20.2,0,0,0,1,0,0,0,0,0,0.27249973756635376,Low Risk
1,0,0,1,0,0,0,0,0,0,0,0,45.25,45.25,0,0,0,0,0,0,0,0,0,0.6868244663795766,High Risk
0,0,0,72,0,0,0,0,0,0,0,0,99.9,7251.7,0,1,1,0,0,1,0,0,0,0.009561981274884447,Low Risk
0,0,0,5,0,0,0,0,0,0,0,0,69.7,316.9,0,0,1,0,0,0,0,1,0,0.46706086310928374,Medium Risk
0,0,0,46,0,0,0,0,0,0,0,0,74.8,3548.3,0,0,1,0,0,0,1,0,0,0.12889604801105417,Low Risk
0,0,0,34,0,0,0,0,0,0,0,0,106.35,3549.25,0,1,1,0,0,0,0,1,0,0.2321163855582561,Low Risk
0,0,0,11,0,0,0,0,0,0,0,0,97.85,1105.4,0,1,1,0,0,0,0,0,0,0.9699207878990627,High Risk
0,0,0,10,0,0,0,0,0,0,0,0,49.55,475.7,0,0,0,0,1,0,0,0,1,0.08485373547679108,Low Risk
0,0,0,70,0,0,0,0,0,0,0,0,69.2,4872.35,0,1,0,0,0,1,1,0,0,0.00801758915664882,Low Risk
0,0,0,17,0,0,0,0,0,0,0,0,20.75,418.25,0,0,0,1,1,0,0,0,1,0.019171585665591948,Low Risk
0,0,0,63,0,0,0,0,0,0,0,0,79.85,4861.45,0,1,0,0,0,1,1,0,0,0.014917900328797036,Low Risk
0,0,0,13,0,0,0,0,0,0,0,0,76.2,981.45,0,1,0,0,0,0,0,1,0,0.2385514088105694,Low Risk
0,0,0,49,0,0,0,0,0,0,0,0,84.5,3906.7,0,1,1,0,0,0,0,1,0,0.5438551845281363,Medium Risk
0,0,0,2,0,0,0,0,0,0,0,0,49.25,97.0,0,0,0,0,0,0,0,0,1,0.5422054971056747,Medium Risk
0,0,0,2,0,0,0,0,0,0,0,0,80.65,144.15,0,0,1,0,0,0,0,1,0,0.6494168039098103,High Risk
0,0,0,52,0,0,0,0,0,0,0,0,79.75,4217.8,0,1,0,0,0,1,1,0,0,0.011022865789048483,Low Risk
0,0,0,69,0,0,0,0,0,0,0,0,64.15,4254.1,0,1,0,0,0,1,1,0,0,0.003375535012470312,Low Risk
1,0,0,43,0,0,0,0,0,0,0,0,90.25,3838.75,0,1,1,0,0,0,0,1,0,0.23369783079732684,Low Risk
0,0,0,15,0,0,0,0,0,0,0,0,99.1,1426.4,0,0,1,0,0,0,1,0,0,0.7680657293256777,High Risk
1,0,0,25,0,0,0,0,0,0,0,0,69.5,1752.65,0,1,0,0,0,0,1,0,0,0.07872021962876023,Low Risk
1,0,0,8,0,0,0,0,0,0,0,0,80.65,633.3,0,1,1,0,0,0,1,0,0,0.7827819555730037,High Risk
1,0,0,60,0,0,0,0,0,0,0,0,74.85,4456.35,0,0,0,0,1,0,1,0,0,0.019012827178688706,Low Risk
1,0,0,18,0,0,0,0,0,0,0,0,95.45,1752.55,0,1,1,0,0,0,0,1,0,0.6312768634516425,High Risk
0,0,0,63,0,0,0,0,0,0,0,0,99.65,6311.2,0,1,1,0,1,0,1,0,0,0.22364096084320653,Low Risk
1,0,0,66,0,0,0,0,0,0,0,0,108.45,7076.35,0,1,1,0,1,0,0,1,0,0.36720566759433926,Medium Risk
0,0,0,34,0,0,0,0,0,0,0,0,24.95,894.3,0,1,0,1,0,1,1,0,0,0.008363424175354683,Low Risk
0,0,0,72,0,0,0,0,0,0,0,0,107.5,7853.7,0,1,1,0,0,1,1,0,0,0.0023049836670852642,Low Risk
0,0,0,47,0,0,0,0,0,0,0,0,100.5,4707.1,0,1,1,0,0,0,0,1,0,0.46538181509357024,Medium Risk
0,0,0,60,0,0,0,0,0,0,0,0,89.9,5450.7,0,1,1,0,0,0,0,0,0,0.05767340066067175,Low Risk
0,0,0,72,0,0,0,0,0,0,0,0,42.1,2962.0,1,0,0,0,0,1,0,0,0,0.0029242708774743914,Low Risk
0,0,0,18,0,0,0,0,0,0,0,0,54.4,957.1,0,0,0,0,1,0,1,0,0,0.2376027886541041,Low Risk
0,0,0,9,0,0,0,0,0,0,0,0,94.4,857.25,0,1,1,0,0,0,0,1,0,0.7312184991043224,High Risk
0,0,0,3,0,0,0,0,0,0,0,0,75.3,244.1,0,0,0,0,0,0,0,1,0,0.29369089817927646,Low Risk
0,0,0,47,0,0,0,0,0,0,0,0,78.9,3650.35,0,1,1,0,1,0,0,1,0,0.14584338438745018,Low Risk
0,0,0,31,0,0,0,0,0,0,0,0,79.2,2497.2,0,0,0,0,0,1,0,0,1,0.012120343715735279,Low Risk
0,0,0,50,0,0,0,0,0,0,0,0,20.15,930.9,0,0,0,1,0,1,0,0,0,0.0019120367359904559,Low Risk
0,0,0,10,0,0,0,0,0,0,0,0,79.85,887.35,0,0,1,0,0,0,0,0,1,0.5984045092388741,Medium Risk
0,0,0,1,0,0,0,0,0,0,0,0,49.05,49.05,0,0,0,0,0,0,0,0,1,0.4077707891805597,Medium Risk
0,0,0,52,0,0,0,0,0,0,0,0,20.4,1090.65,0,0,0,1,1,0,0,1,0,0.004912813622549736,Low Risk
1,0,0,64,0,0,0,0,0,0,0,0,111.6,7099.0,0,1,1,0,0,1,0,0,0,0.09706596690510438,Low Risk
0,0,0,62,0,0,0,0,0,0,0,0,24.25,1424.6,0,1,0,1,0,1,0,0,0,0.000594796095650393,Low Risk
0,0,0,3,0,0,0,0,0,0,0,0,64.5,177.4,0,0,0,0,0,0,0,0,0,0.19142766309457102,Low Risk
1,0,0,56,0,0,0,0,0,0,0,0,110.5,6139.5,0,1,1,0,1,0,0,1,0,0.3562405122178313,Medium Risk
0,0,0,46,0,0,0,0,0,0,0,0,55.65,2688.85,0,0,0,0,1,0,1,0,0,0.08835019019757191,Low Risk
0,0,0,8,0,0,0,0,0,0,0,0,54.65,482.25,0,0,0,0,0,0,0,0,1,0.1626606664295394,Low Risk
1,0,0,30,0,0,0,0,0,0,0,0,74.75,2111.3,0,0,0,0,0,0,0,1,0,0.21463947991684065,Low Risk
0,0,0,45,0,0,0,0,0,0,0,0,25.9,1216.6,0,1,0,1,1,0,1,0,0,0.016376688949930274,Low Risk
0,0,0,1,0,0,0,0,0,0,0,0,79.35,79.35,0,0,1,0,0,0,0,1,0,0.9126209771056645,High Risk
0,0,0,11,0,0,0,0,0,0,0,0,50.55,565.35,1,0,0,0,0,0,0,1,0,0.2335733130743271,Low Risk
0,0,0,7,0,0,0,0,0,0,0,0,75.15,496.9,0,0,1,0,0,0,0,0,0,0.47176318192562305,Medium Risk
0,0,0,42,0,0,0,0,0,0,0,0,103.8,4327.5,0,0,1,0,0,0,0,0,0,0.45856924934714666,Medium Risk
0,0,0,49,0,0,0,0,0,0,0,0,20.15,973.35,0,0,0,1,0,1,0,0,0,0.0028674710532344827,Low Risk
0,0,0,9,0,0,0,0,0,0,0,0,99.3,918.75,0,1,1,0,0,0,1,0,0,0.9088047168338171,High Risk
0,0,0,35,0,0,0,0,0,0,0,0,62.15,2215.45,0,0,0,0,1,0,0,0,0,0.06760311396617759,Low Risk
0,0,0,48,0,0,0,0,0,0,0,0,20.65,1057.0,0,0,0,1,0,1,0,0,0,0.0039593009259390475,Low Risk
0,0,0,46,0,0,0,0,0,0,0,0,19.95,927.1,0,0,0,1,0,1,0,0,1,0.0014559884388398166,Low Risk
0,0,0,29,0,0,0,0,0,0,0,0,33.75,1009.25,1,0,0,0,0,0,0,0,1,0.11115464036918582,Low Risk
0,0,0,30,0,0,0,0,0,0,0,0,82.05,2570.2,0,0,1,0,0,0,0,0,0,0.23624690098106801,Low Risk
1,0,0,1,0,0,0,0,0,0,0,0,74.7,74.7,0,0,1,0,0,0,0,1,0,0.7582915366047411,High Risk
0,0,0,66,0,0,0,0,0,0,0,0,84.0,5714.25,0,1,0,0,0,1,0,0,1,0.0032408459560125127,Low Risk
0,0,0,65,0,0,0,0,0,0,0,0,111.05,7107.0,0,1,1,0,0,0,1,0,0,0.1920674006910274,Low Risk
0,0,0,72,0,0,0,0,0,0,0,0,100.9,7459.05,0,1,1,0,0,1,0,0,0,0.024807121839887623,Low Risk
0,0,0,12,0,0,0,0,0,0,0,0,78.95,927.35,0,1,1,0,0,0,0,1,0,0.6498093520714595,High Risk
0,0,0,71,0,0,0,0,0,0,0,0,66.85,4748.7,0,1,0,0,1,0,1,0,0,0.008392480295531985,Low Risk
0,0,0,5,0,0,0,0,0,0,0,0,21.05,113.85,0,0,0,1,0,0,0,0,1,0.158293399318492,Low Risk
0,0,0,52,0,0,0,0,0,0,0,0,21.0,1107.2,0,0,0,1,0,1,0,0,0,0.009149238201101991,Low Risk
1,0,0,25,0,0,0,0,0,0,0,0,98.5,2514.5,0,0,1,0,0,0,0,1,0,0.8593496185911929,High Risk
0,0,0,1,0,0,0,0,0,0,0,0,20.2,20.2,0,0,0,1,0,0,0,0,1,0.38871220264129486,Medium Risk
0,0,0,1,0,0,0,0,0,0,0,0,19.45,19.45,0,0,0,1,0,0,0,1,0,0.3283101824211234,Medium Risk
0,0,0,38,0,0,0,0,0,0,0,0,95.0,3605.6,0,1,1,0,1,0,0,0,0,0.09831209337863292,Low Risk
1,0,0,66,0,0,0,0,0,0,0,0,45.55,3027.25,1,0,0,0,1,0,0,0,0,0.04087490422745363,Low Risk
0,0,0,68,0,0,0,0,0,0,0,0,110.0,7611.85,0,1,1,0,0,1,0,0,0,0.34582419173689954,Medium Risk
0,0,0,5,0,0,0,0,0,0,0,0,24.3,100.2,1,0,0,0,0,0,0,0,1,0.30211174628860954,Medium Risk
0,0,0,72,0,0,0,0,0,0,0,0,104.15,7303.05,0,1,1,0,1,0,0,1,0,0.1578578439331822,Low Risk
0,0,0,32,0,0,0,0,0,0,0,0,30.15,927.65,1,0,0,0,1,0,0,0,1,0.032026401519182436,Low Risk
0,0,0,43,0,0,0,0,0,0,0,0,94.35,3921.3,0,1,1,0,1,0,0,0,1,0.1404463859712592,Low Risk
0,0,0,72,0,0,0,0,0,0,0,0,19.4,1363.25,0,0,0,1,0,1,1,0,0,0.0007558561346579366,Low Risk
0,0,0,55,0,0,0,0,0,0,0,0,96.75,5238.9,0,1,1,0,0,0,0,1,0,0.32127566983643563,Medium Risk
0,0,0,52,0,0,0,0,0,0,0,0,57.95,3042.25,0,0,0,0,1,0,1,0,0,0.06396736684336374,Low Risk
0,0,0,43,0,0,0,0,0,0,0,0,91.65,3954.1,0,0,1,0,0,0,0,1,0,0.10195361299389863,Low Risk
1,0,0,37,0,0,0,0,0,0,0,0,76.5,2868.15,0,1,1,0,0,0,0,1,0,0.6425274705901213,High Risk
0,0,0,64,0,0,0,0,0,0,0,0,54.6,3423.5,1,0,0,0,0,1,0,1,0,0.04652012730180167,Low Risk
0,0,0,3,0,0,0,0,0,0,0,0,89.85,248.4,0,0,1,0,0,0,0,1,0,0.4702120793385968,Medium Risk
0,0,0,36,0,0,0,0,0,0,0,0,31.05,1126.35,1,0,0,0,0,1,0,0,0,0.020012014353774345,Low Risk
0,0,0,10,0,0,0,0,0,0,0,0,100.25,1064.65,0,1,1,0,0,0,0,1,0,0.9265526485241031,High Risk
0,0,0,41,0,0,0,0,0,0,0,0,20.65,835.15,0,0,0,1,0,1,0,0,1,0.0010705756670353439,Low Risk
0,0,0,27,0,0,0,0,0,0,0,0,85.2,2151.6,0,1,1,0,0,0,1,0,0,0.2699237123535329,Low Risk
0,0,0,56,0,0,0,0,0,0,0,0,99.8,5515.45,0,1,1,0,1,0,1,0,0,0.21775477219501704,Low Risk
0,0,0,6,0,0,0,0,0,0,0,0,20.7,112.75,0,0,0,1,0,0,0,0,1,0.0693080438951129,Low Risk
0,0,0,3,0,0,0,0,0,0,0,0,74.4,229.55,0,1,1,0,0,0,0,1,0,0.7518697361705766,High Risk
0,0,0,7,0,0,0,0,0,0,0,0,50.7,350.35,0,0,0,0,0,0,0,0,1,0.2489593961057914,Low Risk
0,0,0,4,0,0,0,0,0,0,0,0,20.85,62.9,0,0,0,1,0,0,0,0,1,0.16569698287506732,Low Risk
0,0,0,33,0,0,0,0,0,0,0,0,88.95,3027.65,0,0,1,0,0,1,0,1,0,0.00997386202776734,Low Risk
1,0,0,27,0,0,0,0,0,0,0,0,78.05,2135.5,0,1,1,0,0,0,0,1,0,0.6110844882788149,High Risk
0,0,0,72,0,0,0,0,0,0,0,0,23.55,1723.95,0,1,0,1,0,1,0,0,0,0.00024011922158310571,Low Risk
0,0,0,1,0,0,0,0,0,0,0,0,19.75,19.75,0,0,0,1,0,0,0,0,1,0.4258608672765127,Medium Risk
1,0,0,71,0,0,0,0,0,0,0,0,56.45,3985.35,1,0,0,0,1,0,0,1,0,0.12262101676820117,Low Risk
0,0,0,13,0,0,0,0,0,0,0,0,85.95,1215.65,0,1,1,0,0,0,0,1,0,0.43195539484752726,Medium Risk
0,0,0,25,0,0,0,0,0,0,0,0,58.6,1502.65,1,0,0,0,0,0,1,0,0,0.3533732099736398,Medium Risk
0,0,0,67,0,0,0,0,0,0,0,0,50.55,3260.1,0,0,0,0,0,1,0,0,0,0.02391088727343063,Low Risk
0,0,0,1,0,0,0,0,0,0,0,0,35.45,35.45,1,0,0,0,0,0,0,1,0,0.7479030572357691,High Risk
0,0,0,2,0,0,0,0,0,0,0,0,44.35,81.25,0,0,0,0,0,0,0,1,0,0.5249274340597162,Medium Risk
0,0,0,43,0,0,0,0,0,0,0,0,25.7,1188.2,0,1,0,1,0,1,1,0,0,0.011586026751771934,Low Risk
0,0,0,23,0,0,0,0,0,0,0,0,75.0,1778.5,0,0,1,0,0,0,0,0,0,0.15940349962969638,Low Risk
0,0,0,64,0,0,0,0,0,0,0,0,20.2,1277.75,0,0,0,1,0,1,0,0,1,0.0012314384815819896,Low Risk
0,0,0,57,0,0,0,0,0,0,0,0,19.6,1170.55,0,0,0,1,0,1,0,0,1,0.016032623180525323,Low Risk
1,0,0,1,0,0,0,0,0,0,0,0,70.45,70.45,0,0,1,0,0,0,0,0,1,0.7287683841956419,High Risk
1,0,0,72,0,0,0,0,0,0,0,0,88.05,6425.65,0,1,0,0,0,1,1,0,0,0.004322404079638151,Low Risk
0,0,0,8,0,0,0,0,0,0,0,0,71.15,563.65,0,1,0,0,0,0,0,1,0,0.34783085937229197,Medium Risk
0,0,0,61,0,0,0,0,0,0,0,0,101.05,5971.25,0,1,1,0,0,1,0,0,0,0.02189915619462371,Low Risk
0,0,0,64,0,0,0,0,0,0,0,0,84.3,5289.05,0,1,1,0,1,0,1,0,0,0.11185774488895664,Low Risk
1,0,0,71,0,0,0,0,0,0,0,0,23.95,1756.2,0,1,0,1,0,1,0,0,0,0.00044883727475439426,Low Risk
0,0,0,65,0,0,0,0,0,0,0,0,99.05,6416.7,0,1,1,0,0,1,1,0,0,0.024927609612762896,Low Risk
0,0,0,3,0,0,0,0,0,0,0,0,19.6,61.35,0,0,0,1,1,0,0,0,1,0.031233604769483368,Low Risk
0,0,0,1,0,0,0,0,0,0,0,0,45.65,45.65,0,0,0,0,0,0,0,1,0,0.6635594646051691,High Risk
0,0,0,30,0,0,0,0,0,0,0,0,64.5,1929.95,0,0,0,0,1,0,1,0,0,0.02657698785945827,Low Risk
0,0,0,15,0,0,0,0,0,0,0,0,69.5,1071.4,0,0,0,0,0,0,0,0,1,0.10727673646385386,Low Risk
0,0,0,8,0,0,0,0,0,0,0,0,68.55,564.35,0,0,0,0,0,0,0,1,0,0.24627120241755904,Low Risk
0,0,0,7,0,0,0,0,0,0,0,0,95.0,655.5,0,1,1,0,0,0,0,0,1,0.8491260347170605,High Risk
0,0,0,70,0,0,0,0,0,0,0,0,108.15,7930.55,0,1,1,0,1,0,1,0,0,0.16013399333833303,Low Risk
0,0,0,62,0,0,0,0,0,0,0,0,86.1,5215.25,0,0,0,0,0,1,0,1,0,0.009661595436210556,Low Risk
0,0,0,6,0,0,0,0,0,0,0,0,19.7,113.5,0,0,0,1,0,0,0,0,1,0.13175862157945167,Low Risk
0,0,0,14,0,0,0,0,0,0,0,0,80.9,1152.8,0,0,1,0,0,0,0,0,0,0.4002244704595963,Medium Risk
0,0,0,22,0,0,0,0,0,0,0,0,84.15,1821.95,0,1,1,0,0,0,0,0,0,0.3873872964497375,Medium Risk
0,0,0,22,0,0,0,0,0,0,0,0,20.15,419.9,0,0,0,1,1,0,0,0,1,0.005460871445852243,Low Risk
0,0,0,16,0,0,0,0,0,0,0,0,64.25,1024.0,0,0,0,0,0,1,0,0,1,0.007964420371934487,Low Risk
0,0,0,10,0,0,0,0,0,0,0,0,25.7,251.6,0,1,0,1,0,1,0,0,0,0.00719005038317671,Low Risk
0,0,0,13,0,0,0,0,0,0,0,0,56.0,764.55,0,0,0,0,0,0,0,1,0,0.23303142252347908,Low Risk
0,0,0,20,0,0,0,0,0,0,0,0,82.4,1592.35,0,1,1,0,0,0,0,1,0,0.47914022824427266,Medium Risk
0,0,0,2,0,0,0,0,0,0,0,0,69.7,135.2,0,0,1,0,0,0,0,1,0,0.4557607160804578,Medium Risk
0,0,0,53,0,0,0,0,0,0,0,0,73.9,3958.25,0,1,0,0,0,1,0,0,0,0.0070281335599983565,Low Risk
0,0,0,11,0,0,0,0,0,0,0,0,20.6,233.9,0,0,0,1,1,0,0,0,1,0.01711724858053799,Low Risk
0,0,0,69,0,0,0,0,0,0,0,0,19.9,1363.45,0,0,0,1,0,1,0,0,1,0.0007762492102220842,Low Risk
0,0,0,4,0,0,0,0,0,0,0,0,70.9,273.0,0,0,1,0,0,0,0,0,0,0.5546992476776197,Medium Risk
0,0,0,72,0,0,0,0,0,0,0,0,89.05,6254.45,0,1,0,0,0,1,0,0,0,0.001339241478565435,Low Risk
1,0,0,58,0,0,0,0,0,0,0,0,45.3,2651.2,1,0,0,0,0,0,0,1,0,0.70480159288371,High Risk
0,0,0,16,0,0,0,0,0,0,0,0,20.4,321.4,0,0,0,1,0,0,0,1,0,0.06934106682230619,Low Risk
0,0,0,43,0,0,0,0,0,0,0,0,84.25,3539.25,0,0,1,0,1,0,0,0,0,0.12112230902715881,Low Risk
0,0,0,2,0,0,0,0,0,0,0,0,104.4,242.8,0,1,1,0,0,0,0,1,0,0.8257089355293792,High Risk
0,0,0,14,0,0,0,0,0,0,0,0,81.95,1181.75,0,0,0,0,0,1,0,0,1,0.006397034307902288,Low Risk
0,0,0,53,0,0,0,0,0,0,0,0,94.85,5000.2,0,0,1,0,1,0,0,0,0,0.23211459305250196,Low Risk
0,0,0,32,0,0,0,0,0,0,0,0,20.55,654.55,0,0,0,1,1,0,0,0,0,0.004314316250178271,Low Risk
0,0,0,34,0,0,0,0,0,0,0,0,24.7,780.2,0,1,0,1,0,0,0,1,0,0.023633364255740537,Low Risk
1,0,0,15,0,0,0,0,0,0,0,0,74.45,1145.7,0,1,1,0,0,0,0,0,1,0.6493463373820683,High Risk
1,0,0,7,0,0,0,0,0,0,0,0,76.45,503.6,0,0,1,0,0,0,0,0,0,0.5626803286682112,Medium Risk
0,0,0,15,0,0,0,0,0,0,0,0,105.35,1559.25,0,1,1,0,0,0,0,0,0,0.3879708373353552,Medium Risk
0,0,0,61,0,0,0,0,0,0,0,0,20.55,1252.0,0,0,0,1,1,0,1,0,0,0.0009927295301248387,Low Risk
0,0,0,1,0,0,0,0,0,0,0,0,29.95,29.95,1,0,0,0,0,0,0,0,0,0.5126399222993475,Medium Risk
0,0,0,1,0,0,0,0,0,0,0,0,45.3,45.3,0,0,0,0,0,0,0,0,1,0.5734754447838164,Medium Risk
0,0,0,8,0,0,0,0,0,0,0,0,84.5,662.65,0,1,1,0,0,0,0,0,0,0.8557173104580853,High Risk
0,0,0,33,0,0,0,0,0,0,0,0,74.75,2453.3,0,0,0,0,1,0,1,0,0,0.12487550017499241,Low Risk
0,0,0,13,0,0,0,0,0,0,0,0,79.25,1111.65,0,0,1,0,0,0,0,1,0,0.6579750949792834,High Risk
0,0,0,1,0,0,0,0,0,0,0,0,24.8,24.8,1,0,0,0,0,0,0,1,0,0.6676397507956824,High Risk
0,0,0,20,0,0,0,0,0,0,0,0,51.8,1023.85,0,0,0,0,0,0,0,0,1,0.14070034026821993,Low Risk
0,0,0,3,0,0,0,0,0,0,0,0,30.4,82.15,1,0,0,0,0,0,0,1,0,0.3444485285101654,Medium Risk
0,0,0,13,0,0,0,0,0,0,0,0,19.65,244.8,0,0,0,1,1,0,0,1,0,0.027822540232753372,Low Risk
0,0,0,40,0,0,0,0,0,0,0,0,56.6,2379.1,0,1,0,0,0,0,1,0,0,0.09816036146431088,Low Risk
0,0,0,43,0,0,0,0,0,0,0,0,71.9,3173.35,0,1,0,0,1,0,1,0,0,0.10327954793899377,Low Risk
0,0,0,6,0,0,0,0,0,0,0,0,91.0,531.0,0,0,1,0,0,0,0,1,0,0.7465601562273025,High Risk
0,0,0,69,0,0,0,0,0,0,0,0,19.75,1375.4,0,0,0,1,0,1,0,0,0,0.002885989651065167,Low Risk
0,0,0,72,0,0,0,0,0,0,0,0,109.7,8129.3,0,1,1,0,0,1,1,0,0,0.007110717733656224,Low Risk
0,0,0,59,0,0,0,0,0,0,0,0,19.3,1192.7,0,0,0,1,0,1,1,0,0,0.05908256766796556,Low Risk
0,0,0,20,0,0,0,0,0,0,0,0,96.55,1901.65,0,0,1,0,0,0,0,1,0,0.4325345840274221,Medium Risk
0,0,0,24,0,0,0,0,0,0,0,0,24.1,587.4,0,1,0,1,0,1,0,0,0,0.010294818469478693,Low Risk
0,0,0,59,0,0,0,0,0,0,0,0,111.35,6519.75,0,1,1,0,0,0,0,1,0,0.3397352815462604,Medium Risk
0,0,0,72,0,0,0,0,0,0,0,0,112.25,8041.65,0,1,1,0,0,1,0,0,0,0.0011602652163377218,Low Risk
0,0,0,1,0,0,0,0,0,0,0,0,20.75,20.75,0,0,0,1,0,0,0,0,1,0.39371255413995315,Medium Risk
0,0,0,27,0,0,0,0,0,0,0,0,101.9,2681.15,0,0,1,0,1,0,1,0,0,0.15514514854224418,Low Risk
0,0,0,14,0,0,0,0,0,0,0,0,80.05,1112.3,0,0,1,0,0,0,1,0,0,0.3490856949817085,Medium Risk
0,0,0,71,0,0,0,0,0,0,0,0,105.55,7405.5,0,1,1,0,0,1,0,1,0,0.1880821120232661,Low Risk
0,0,0,13,0,0,0,0,0,0,0,0,78.3,1033.95,0,0,1,0,0,0,1,0,0,0.1509695511060133,Low Risk
0,0,0,44,0,0,0,0,0,0,0,0,68.85,2958.95,0,0,1,0,0,0,1,0,0,0.2603464843938943,Low Risk
0,0,0,33,0,0,0,0,0,0,0,0,79.95,2684.85,0,0,1,0,1,0,0,0,0,0.1376986220291373,Low Risk
